Rank,Name,Obj#,LHS,RA (2000.0),DEC (2000.0),"PM (""/yr)",Angle,Parallax,,Error,Spectral Type,V,Mv,Mass,common name
0,SUN,1+8P,-,-,-,-,-,-,,-,G2.0 V,-26.72,4.85,1,
1,GJ 551,-,49,14 29 43.0,-62 40 46,3.853,281.5,0.76885,4.24217987904012,0.00029,M5.0 V,11.05,15.48,0.11,Proxima Centauri
-,GJ 559 A,3,50,14 39 36.5,-60 50 02,3.71,277.5,0.74723,4.36492110862787,0.00117,G2.0 V,0.01,4.38,1.14,alpha Centauri A
-,GJ 559 B,-,51,14 39 35.1,-60 50 14,3.724,284.8,0.74723,4.36492110862787,0.00117,K0 V,1.34,5.71,0.92,alpha Centauri B
2,GJ 699,1,57,17 57 48.5,+04 41 36,10.358,355.6,0.54551,5.97899213579953,0.00029,M3.5 V,9.57,13.25,0.16,Barnard's Star
3,GJ 406,1,36,10 56 29.2,+07 00 53,4.696,234.6,0.4191,7.78239083750895,0.0021,M5.5 V,13.53,16.64,0.09,Wolf 359
4,GJ 411,1,37,11 03 20.2,+35 58 12,4.802,186.9,0.39325,8.29396058486968,0.00057,M2.0 V,7.47,10.44,0.46,Lalande 21185
5,GJ 244 A,2,219,06 45 08.9,-16 42 58,1.339,204.1,0.38002,8.5827061733593,0.00128,A1.0 V,-1.43,1.47,1.99,Sirius
-,GJ 244 B,-,-,06 45 08.9,-16 42 58,1.339,204.1,0.38002,8.5827061733593,0.00128,DA2,8.44,11.34,1,Sirius B
6,GJ 65 A,2,9,01 39 01.3,-17 57 01,3.368,80.4,0.3737,8.72785656944073,0.0027,M5.5 V,12.61,15.47,0.11,BL Ceti
-,GJ 65 B,-,10,01 39 01.3,-17 57 01,3.368,80.4,0.3737,8.72785656944073,0.0027,M6.0 V,13.06,15.93,0.1,UV Ceti
7,GJ 729,1,3414,18 49 49.4,-23 50 10,0.666,106.8,0.33722,9.67202419785303,0.00197,M3.5 V,10.44,13.08,0.17,Ross 154
8,GJ 905,1,549,23 41 54.7,+44 10 30,1.617,177,0.31637,10.3094477984638,0.00055,M5.5 V,12.29,14.79,0.12,Ross 248
9,GJ 144,1+1P,1557,03 32 55.8,-09 27 30,0.977,271.1,0.31122,10.48004626952,9E-05,K2.0 V,3.73,6.2,0.85,epsilon Eridani
